iter	RMSE
0	14.49161604
1	14.00444879
2	13.633322
3	13.18210484
4	12.7691472
5	12.40113351
6	12.06985344
7	11.67730334
8	11.31911802
9	11.04426976
10	10.70159149
11	10.41671986
12	10.13136831
13	9.84615983
14	9.597695524
15	9.347956966
16	9.12372084
17	8.914765019
18	8.721288932
19	8.522479581
20	8.361612014
21	8.189499805
22	8.050064415
23	7.900434731
24	7.768095816
25	7.66952116
26	7.537087021
27	7.420855294
28	7.321086636
29	7.209362715
30	7.125586686
31	7.032407039
32	6.943736375
33	6.875696767
34	6.790167154
35	6.718683975
36	6.659927242
37	6.60280964
38	6.542997191
39	6.489610199
40	6.446398151
41	6.389097106
42	6.330622759
43	6.273878689
44	6.236361533
45	6.182569583
46	6.135242705
47	6.101033992
48	6.058137494
49	6.02251903
50	5.995452319
51	5.963332659
52	5.931081664
53	5.891364911
54	5.857998743
55	5.833440907
56	5.811259725
57	5.787312442
58	5.772685801
59	5.750194732
60	5.736060439
61	5.717558558
62	5.706642963
63	5.68826633
64	5.670650991
65	5.655458329
66	5.638635695
67	5.621763193
68	5.605623217
69	5.589991161
70	5.574033617
71	5.557172933
72	5.545291726
73	5.535057249
74	5.52584193
75	5.515007595
76	5.506467583
77	5.492626352
78	5.479858606
79	5.469175762
80	5.459598206
81	5.449078879
82	5.437041559
83	5.423005172
84	5.414848251
85	5.406691145
86	5.395699807
87	5.387249328
88	5.378814481
89	5.373812539
90	5.367681814
91	5.361486834
92	5.35349336
93	5.341743284
94	5.334306159
95	5.326687032
96	5.324144884
97	5.317708639
98	5.310437027
99	5.305304995
100	5.301178775
101	5.296102298
102	5.290670107
103	5.283291191
104	5.278590427
105	5.274764691
106	5.271610805
107	5.267792794
108	5.26174087
109	5.258378791
110	5.251121151
111	5.247059793
112	5.242832221
113	5.235758444
114	5.232063501
115	5.228037777
116	5.224189702
117	5.216425682
118	5.208269411
119	5.202488525
120	5.198122245
121	5.194169641
122	5.189531137
123	5.18458529
124	5.178945803
125	5.174492694
126	5.171430742
127	5.16969073
128	5.166807686
129	5.163944125
130	5.158114607
131	5.155128186
132	5.150806444
133	5.146424726
134	5.142887404
135	5.139788562
136	5.136658725
137	5.134095648
138	5.130934976
139	5.128692495
140	5.126677663
141	5.123472383
142	5.120689211
143	5.118402233
144	5.114437554
145	5.109645875
146	5.107663293
147	5.103858564
148	5.102119245
149	5.095156142
150	5.092705561
151	5.090937946
152	5.084806432
153	5.078530881
154	5.074312097
155	5.072135257
156	5.068948052
157	5.06650626
158	5.061358922
159	5.056543166
160	5.051588179
161	5.048017326
162	5.044608069
163	5.042555425
164	5.04051169
165	5.037781452
166	5.034825296
167	5.033085356
168	5.030669331
169	5.028967171
170	5.02634896
171	5.021250492
172	5.016416619
173	5.009134746
174	5.006950608
175	5.001581446
176	4.998639744
177	4.997047494
178	4.993519287
179	4.99085087
180	4.988031045
181	4.98195975
182	4.978299683
183	4.976220532
184	4.974822322
185	4.969196992
186	4.966677156
187	4.963995472
188	4.961279862
189	4.955875776
190	4.950761734
191	4.94925754
192	4.946126183
193	4.941386732
194	4.936077286
195	4.934093474
196	4.931787437
197	4.928109928
198	4.924751578
199	4.921170145
200	4.91586767
201	4.911949472
202	4.909472422
203	4.907462185
