iter	Passed	Remaining
0	0	118
1	0	94
2	1	80
3	1	86
4	2	80
5	2	75
6	2	71
7	2	70
8	3	68
9	3	72
10	5	87
11	6	100
12	6	102
13	7	105
14	8	110
15	10	118
16	11	126
17	12	128
18	13	130
19	14	135
20	15	137
21	17	142
22	18	147
23	19	147
24	20	148
25	21	148
26	24	163
27	25	160
28	25	155
29	26	151
30	26	149
31	27	147
32	27	144
33	28	143
34	29	140
35	29	138
36	30	135
37	30	133
38	31	131
39	31	129
40	32	128
41	32	126
42	33	124
43	33	122
44	34	121
45	34	119
46	35	117
47	35	115
48	36	114
49	36	112
50	37	111
51	37	109
52	37	108
53	38	106
54	38	105
55	39	103
56	39	102
57	40	101
58	40	100
59	41	99
60	41	97
61	42	96
62	42	95
63	43	94
64	43	93
65	44	92
66	44	90
67	44	89
68	45	88
69	45	87
70	46	86
71	46	85
72	47	84
73	47	83
74	48	82
75	48	81
76	48	80
77	49	79
78	49	78
79	50	77
80	50	76
81	50	75
82	51	74
83	51	73
84	52	72
85	52	72
86	52	71
87	53	70
88	53	69
89	54	68
90	54	67
91	54	66
92	55	65
93	55	65
94	56	64
95	56	63
96	56	62
97	57	61
98	57	61
99	57	60
100	58	59
101	58	58
102	59	57
103	59	57
104	59	56
105	60	55
106	60	55
107	61	54
108	61	53
109	61	52
110	62	52
111	62	51
112	62	50
113	63	49
114	63	49
115	63	48
116	64	47
117	64	47
118	65	46
119	65	45
120	65	45
121	66	44
122	66	44
123	67	43
124	67	42
125	68	42
126	68	41
127	69	41
128	69	40
129	70	40
130	70	39
131	71	38
132	71	38
133	72	37
134	72	37
135	72	36
136	73	35
137	73	35
138	74	34
139	74	34
140	75	33
141	75	32
142	75	32
143	76	32
144	77	31
145	77	30
146	78	30
147	78	29
148	79	29
149	79	28
150	79	28
151	80	27
152	80	26
153	80	26
154	81	25
155	81	25
156	81	24
157	82	23
158	82	23
159	82	22
160	83	22
161	83	21
162	83	21
163	84	20
164	85	20
165	85	19
166	85	18
167	86	18
168	86	17
169	86	17
170	86	16
171	87	16
172	87	15
173	88	15
174	88	14
175	88	14
176	89	13
177	90	13
178	90	12
179	91	12
180	91	11
181	91	11
182	92	10
183	92	10
184	93	9
185	93	9
186	93	8
187	94	8
188	94	7
189	94	6
190	95	6
191	95	5
192	96	5
193	96	4
194	97	4
195	98	4
196	98	3
197	98	2
198	99	2
199	99	1
200	99	1
201	100	0
202	100	0
203	100	0
